1. AFL148Cp [Eremothecium gossypii ATCC 10895],NP_985402.1,GI:45198373
2. 60S ribosomal protein L35 [Debaryomyces hansenii CBS767],XP_457568.1,GI:50416649
3. 60S ribosomal protein L30 [Debaryomyces hansenii CBS767],XP_460297.1,GI:50423429
4. ubiquitin-ribosomal 40S subunit protein S31 fusion protein [Candida albicans SC5314],XP_715397.1,GI:68481245
5. acetate--CoA ligase [Aspergillus terreus NIH2624],XP_001213148.1,GI:115391287
6. 60S ribosomal protein L12 [Aspergillus fischeri NRRL 181],XP_001265315.1,GI:119497097
7. Elongation factor 1-alpha (EF-1-alpha) [Scheffersomyces stipitis CBS 6054],XP_001382687.1,GI:126132324
"8. ADP,ATP carrier protein [Meyerozyma guilliermondii ATCC 6260]",XP_001481936.1,GI:146411929
9. plasma membrane ATPase 1 [Meyerozyma guilliermondii ATCC 6260],XP_001486378.1,GI:146420850
"10. septin AspA, putative [Aspergillus flavus NRRL3357]",XP_002381008.1,GI:238499547
"11. t-complex protein 1, eta subunit, putative [Aspergillus flavus NRRL3357]",XP_002381968.1,GI:238501468
12. Pc12g03370 [Penicillium rubens Wisconsin 54-1255],XP_002557222.1,GI:255931331
13. Pc12g05400 [Penicillium rubens Wisconsin 54-1255],XP_002557385.1,GI:255931657
14. Pc12g05640 [Penicillium rubens Wisconsin 54-1255],XP_002557408.1,GI:255931703
15. Pc12g06650 [Penicillium rubens Wisconsin 54-1255],XP_002557505.1,GI:255931897
16. Pc12g06940 [Penicillium rubens Wisconsin 54-1255],XP_002557531.1,GI:255931949
17. Pc12g08820 [Penicillium rubens Wisconsin 54-1255],XP_002557711.1,GI:255932309
18. Pc12g09360 [Penicillium rubens Wisconsin 54-1255],XP_002557763.1,GI:255932413
19. Pc12g12040 [Penicillium rubens Wisconsin 54-1255],XP_002558020.1,GI:255933099
20. Pc12g12260 [Penicillium rubens Wisconsin 54-1255],XP_002558041.1,GI:255933141
21. Pc12g13510 [Penicillium rubens Wisconsin 54-1255],XP_002558159.1,GI:255933560
22. Pc12g14020 [Penicillium rubens Wisconsin 54-1255],XP_002558208.1,GI:255933658
23. Pc12g15830 [Penicillium rubens Wisconsin 54-1255],XP_002558382.1,GI:255934202
24. Pc12g16020 [Penicillium rubens Wisconsin 54-1255],XP_002558400.1,GI:255934442
25. Pc12g16160 [Penicillium rubens Wisconsin 54-1255],XP_002558414.1,GI:255934774
26. Pc13g01870 [Penicillium rubens Wisconsin 54-1255],XP_002558631.1,GI:255935209
27. Pc13g04510 [Penicillium rubens Wisconsin 54-1255],XP_002558886.1,GI:255935719
28. Pc13g04890 [Penicillium rubens Wisconsin 54-1255],XP_002558924.1,GI:255935795
29. Pc13g05570 [Penicillium rubens Wisconsin 54-1255],XP_002558991.1,GI:255935929
30. Pc13g06650 [Penicillium rubens Wisconsin 54-1255],XP_002559098.1,GI:255936143
31. Pc13g07040 [Penicillium rubens Wisconsin 54-1255],XP_002559136.1,GI:255936219
32. Pc13g07230 [Penicillium rubens Wisconsin 54-1255],XP_002559154.1,GI:255936255
33. Pc13g09960 [Penicillium rubens Wisconsin 54-1255],XP_002559418.1,GI:255936783
34. Pc14g00740 [Penicillium rubens Wisconsin 54-1255],XP_002560068.1,GI:255938596
35. Pc14g01170 [Penicillium rubens Wisconsin 54-1255],XP_002560111.1,GI:255938682
36. Pc14g01700 [Penicillium rubens Wisconsin 54-1255],XP_002560164.1,GI:255938788
37. Pc15g00320 [Penicillium rubens Wisconsin 54-1255],XP_002560259.1,GI:255938979
38. Pc16g02160 [Penicillium rubens Wisconsin 54-1255],XP_002560588.1,GI:255939638
39. Pc16g08500 [Penicillium rubens Wisconsin 54-1255],XP_002561169.1,GI:255940800
40. Pc16g12690 [Penicillium rubens Wisconsin 54-1255],XP_002561568.1,GI:255941598
41. Pc16g14710 [Penicillium rubens Wisconsin 54-1255],XP_002561768.1,GI:255941998
42. Pc18g03280 [Penicillium rubens Wisconsin 54-1255],XP_002562168.1,GI:255942799
43. Pc18g05330 [Penicillium rubens Wisconsin 54-1255],XP_002562360.1,GI:255943183
44. Pc18g06000 [Penicillium rubens Wisconsin 54-1255],XP_002562427.1,GI:255943317
45. Pc20g00260 [Penicillium rubens Wisconsin 54-1255],XP_002562590.1,GI:255943645
46. Pc20g01150 [Penicillium rubens Wisconsin 54-1255],XP_002562675.1,GI:255943815
47. Pc20g07810 [Penicillium rubens Wisconsin 54-1255],XP_002563304.1,GI:255945073
48. Pc20g11580 [Penicillium rubens Wisconsin 54-1255],XP_002563644.1,GI:255945753
49. Pc20g12590 [Penicillium rubens Wisconsin 54-1255],XP_002563744.1,GI:255945953
50. Pc20g15310 [Penicillium rubens Wisconsin 54-1255],XP_002564005.1,GI:255946475
51. Pc22g01260 [Penicillium rubens Wisconsin 54-1255],XP_002564170.1,GI:255946806
52. Pc22g01480 [Penicillium rubens Wisconsin 54-1255],XP_002564192.1,GI:255946850
53. Pc22g04470 [Penicillium rubens Wisconsin 54-1255],XP_002564485.1,GI:255947436
54. Pc22g04990 [Penicillium rubens Wisconsin 54-1255],XP_002564536.1,GI:255947538
55. Pc22g07900 [Penicillium rubens Wisconsin 54-1255],XP_002564806.1,GI:255948078
56. Pc22g08870 [Penicillium rubens Wisconsin 54-1255],XP_002564899.1,GI:255948264
57. Pc22g10220 [Penicillium rubens Wisconsin 54-1255],XP_002565030.1,GI:255948526
58. Pc22g11240 [Penicillium rubens Wisconsin 54-1255],XP_002565071.1,GI:255948608
59. Pc22g11710 [Penicillium rubens Wisconsin 54-1255],XP_002565117.1,GI:255948700
60. Pc22g15570 [Penicillium rubens Wisconsin 54-1255],XP_002565474.1,GI:255949414
61. Pc22g15930 [Penicillium rubens Wisconsin 54-1255],XP_002565509.1,GI:255949484
62. Pc22g22040 [Penicillium rubens Wisconsin 54-1255],XP_002566099.1,GI:255950664
63. Pc22g22060 [Penicillium rubens Wisconsin 54-1255],XP_002566101.1,GI:255950668
64. Pc22g23860 [Penicillium rubens Wisconsin 54-1255],XP_002566277.1,GI:255951020
65. Pc22g25050 [Penicillium rubens Wisconsin 54-1255],XP_002566392.1,GI:255951250
66. Pc21g05240 [Penicillium rubens Wisconsin 54-1255],XP_002567570.1,GI:255953635
67. Pc21g10160 [Penicillium rubens Wisconsin 54-1255],XP_002568051.1,GI:255954597
68. Pc21g12010 [Penicillium rubens Wisconsin 54-1255],XP_002568232.1,GI:255954959
69. Pc21g17970 [Penicillium rubens Wisconsin 54-1255],XP_002568792.1,GI:255956079
70. Pc21g18110 [Penicillium rubens Wisconsin 54-1255],XP_002568806.1,GI:255956107
71. Pc21g18210 [Penicillium rubens Wisconsin 54-1255],XP_002568815.1,GI:255956125
72. Pc21g18480 [Penicillium rubens Wisconsin 54-1255],XP_002568840.1,GI:255956175
73. Pc21g20480 [Penicillium rubens Wisconsin 54-1255],XP_002569035.1,GI:255956565
74. 40S ribosomal protein S20 [Aspergillus niger CBS 513.88],XP_001391753.2,GI:317030042
75. Alpha-Beta tubulin [Batrachochytrium dendrobatidis JAM81],XP_006675119.1,GI:575471652
"76. tubulin, alpha, ubiquitous [Batrachochytrium dendrobatidis JAM81]",XP_006675832.1,GI:575473078
77. histone H3 [Batrachochytrium dendrobatidis JAM81],XP_006680289.1,GI:575481990
78. hypothetical protein WALSEDRAFT_49777 [Wallemia mellicola CBS 633.66],XP_006956129.1,GI:588253894
79. ribosomal protein [Wallemia mellicola CBS 633.66],XP_006956587.1,GI:588254822
80. ribosomal protein S8e [Wallemia mellicola CBS 633.66],XP_006957934.1,GI:588257547
"81. 40S ribosomal protein S1, partial [Wallemia mellicola CBS 633.66]",XP_006958032.1,GI:588257743
82. hypothetical protein WALSEDRAFT_29232 [Wallemia mellicola CBS 633.66],XP_006959016.1,GI:588259725
83. ribosomal protein L13e [Wallemia mellicola CBS 633.66],XP_006959037.1,GI:588259767
84. hypothetical protein WALSEDRAFT_21308 [Wallemia mellicola CBS 633.66],XP_006959950.1,GI:588261613
85. 40S ribosomal protein S15 [Wallemia mellicola CBS 633.66],XP_006960533.1,GI:588262779
86. ubiquitin-conjugating enzyme [Metarhizium robertsii ARSEF 23],XP_007821200.1,GI:629719656
87. hypothetical protein VCUG_00182 [Vavraia culicis subsp. floridensis],XP_008073203.1,GI:667631841
88. hypothetical protein VCUG_00336 [Vavraia culicis subsp. floridensis],XP_008073358.1,GI:667632151
89. hypothetical protein VCUG_00765 [Vavraia culicis subsp. floridensis],XP_008073786.1,GI:667633007
90. hypothetical protein VCUG_00927 [Vavraia culicis subsp. floridensis],XP_008073948.1,GI:667633331
91. hypothetical protein VCUG_01129 [Vavraia culicis subsp. floridensis],XP_008074152.1,GI:667633739
92. hypothetical protein VCUG_01583 [Vavraia culicis subsp. floridensis],XP_008074600.1,GI:667634635
93. hypothetical protein VCUG_01821 [Vavraia culicis subsp. floridensis],XP_008074835.1,GI:667635105
94. pyrimidine 5'-nucleotidase [Vavraia culicis subsp. floridensis],XP_008074933.1,GI:667635301
95. hypothetical protein VCUG_01919 [Vavraia culicis subsp. floridensis],XP_008074935.1,GI:667635305
96. hypothetical protein VCUG_01935 [Vavraia culicis subsp. floridensis],XP_008074949.1,GI:667635333
97. hypothetical protein VCUG_02078 [Vavraia culicis subsp. floridensis],XP_008075091.1,GI:667635617
98. translation elongation factor Tu [Vavraia culicis subsp. floridensis],XP_008075123.1,GI:667635681
99. hypothetical protein VCUG_02386 [Vavraia culicis subsp. floridensis],XP_008075394.1,GI:667636223
100. hypothetical protein VCUG_02463 [Vavraia culicis subsp. floridensis],XP_008075471.1,GI:667636377
101. hypothetical protein VCUG_02500 [Vavraia culicis subsp. floridensis],XP_008075507.1,GI:667636449
102. hypothetical protein VCUG_02536 [Vavraia culicis subsp. floridensis],XP_008075543.1,GI:667636521
103. hypothetical protein VCUG_02556 [Vavraia culicis subsp. floridensis],XP_008075563.1,GI:667636561
104. hypothetical protein VCUG_02559 [Vavraia culicis subsp. floridensis],XP_008075566.1,GI:667636567
105. hypothetical protein VCUG_02629 [Vavraia culicis subsp. floridensis],XP_008075637.1,GI:667636709
106. serine/threonine-protein phosphatase PP1 [Verticillium dahliae VdLs.17],XP_009657095.1,GI:697088369
107. CMGC/MAPK protein kinase [Paracoccidioides brasiliensis Pb18],XP_010760421.1,GI:734680371
108. histone H3 [Rasamsonia emersonii CBS 393.64],XP_013326956.1,GI:915146763
109. hypothetical protein AUEXF2481DRAFT_88992 [Aureobasidium subglaciale EXF-2481],XP_013343621.1,GI:915693287
110. histone H3.2-like protein [Trichosporon asahii var. asahii CBS 2479],XP_014179824.1,GI:930411103
111. CAMP-dependent protein kinase PKAC catalytic subunit [Penicillium digitatum Pd1],XP_014530344.1,GI:953372151
112. Adenylosuccinate synthetase [Penicillium digitatum Pd1],XP_014530689.1,GI:953372841
113. 40S ribosomal protein S22 [Penicillium digitatum Pd1],XP_014530704.1,GI:953372871
114. hypothetical protein PDIP_66870 [Penicillium digitatum Pd1],XP_014530844.1,GI:953373151
"115. U2 auxiliary factor small subunit, putative [Penicillium digitatum Pd1]",XP_014530912.1,GI:953373287
"116. Fatty acid synthase beta subunit, putative [Penicillium digitatum Pd1]",XP_014530950.1,GI:953373363
117. Glutamine:fructose-6-phosphate amidotransferase [Penicillium digitatum Pd1],XP_014530966.1,GI:953373395
118. Enolase [Penicillium digitatum Pd1],XP_014531016.1,GI:953373495
119. Rho GTPase Rho1 [Penicillium digitatum Pd1],XP_014531031.1,GI:953373525
120. 40S ribosomal protein S26E [Penicillium digitatum Pd1],XP_014531146.1,GI:953373755
121. hypothetical protein PDIP_69970 [Penicillium digitatum Pd1],XP_014531154.1,GI:953373771
"122. Mitochondrial inner membrane AAA protease Yta12, putative [Penicillium digitatum Pd1]",XP_014531261.1,GI:953373985
123. Mitochondrial import inner membrane translocase subunit tim14 [Penicillium digitatum Pd1],XP_014531263.1,GI:953373989
124. hypothetical protein PDIP_71070 [Penicillium digitatum Pd1],XP_014531264.1,GI:953373991
"125. Proteasome regulatory particle subunit (RpnK), putative [Penicillium digitatum Pd1]",XP_014531383.1,GI:953374229
126. hypothetical protein PDIP_73280 [Penicillium digitatum Pd1],XP_014531485.1,GI:953374433
127. 40S ribosomal protein S12 [Penicillium digitatum Pd1],XP_014531500.1,GI:953374463
128. 40S ribosomal protein S7e [Penicillium digitatum Pd1],XP_014531645.1,GI:953374753
"129. Pre-rRNA processing nucleolar protein Sik1, putative [Penicillium digitatum Pd1]",XP_014531768.1,GI:953374999
"130. Integral plasma membrane protein, putative [Penicillium digitatum Pd1]",XP_014531781.1,GI:953375025
131. Alternative NADH-dehydrogenase [Penicillium digitatum Pd1],XP_014531825.1,GI:953375113
"132. Translation elongation factor EF-2 subunit, putative [Penicillium digitatum Pd1]",XP_014532055.1,GI:953375573
"133. 6-phosphogluconate dehydrogenase, decarboxylating [Penicillium digitatum Pd1]",XP_014532178.1,GI:953375819
"134. Karyopherin alpha subunit, putative [Penicillium digitatum Pd1]",XP_014532210.1,GI:953375883
"135. Sodium/phosphate symporter, putative [Penicillium digitatum Pd1]",XP_014532275.1,GI:953376013
"136. ATP synthase delta chain, mitochondrial, putative [Penicillium digitatum Pd1]",XP_014532539.1,GI:953376541
"137. Protein transport protein Sec23, putative [Penicillium digitatum Pd1]",XP_014532550.1,GI:953376563
"138. Translational activator, putative [Penicillium digitatum Pd1]",XP_014532706.1,GI:953376875
139. Heat shock protein [Penicillium digitatum Pd1],XP_014532714.1,GI:953376891
140. Cap binding protein [Penicillium digitatum Pd1],XP_014532762.1,GI:953376987
"141. UTP-glucose-1-phosphate uridylyltransferase Ugp1, putative [Penicillium digitatum Pd1]",XP_014532814.1,GI:953377091
"142. MRNA binding post-transcriptional regulator (Csx1), putative [Penicillium digitatum Pd1]",XP_014532866.1,GI:953377195
143. ATP synthase subunit beta [Penicillium digitatum Pd1],XP_014532984.1,GI:953377431
